日時,学籍番号,登録方式,エラー内容
19/12/10 08:15:16,K018C1031,登録時エラー,Unknown column 'Insertinfo' in 'field list'
19/12/10 08:15:27,G019B1335,登録時エラー,Unknown column 'Insertinfo' in 'field list'
