BD,放送芸術科
AD,声優・演劇科
AS,演劇スタッフ科
LA,マンガ・アニメーション科　４年制
SA,マンガ・アニメーション科
GS,ゲームクリエイター科
CG,CG映像科
MA,グラフィックデザイン科
L4,ゲームクリエイター科　4年制
MU,ミュージックアーティスト科
CE,コンサート・イベント科
MD,音響芸術科
DP,ダンスパフォーマンス科
IS,ITスペシャリスト科
CD,情報処理科
NT,パソコン・ネットワーク科
J2,情報ビジネス科
E2,電子・電気科
ID,機械設計科
B2,環境・バイオ科
UB,建築設計科
U4,建築学科
D1,インテリアデザイン科
D2,プロダクトデザイン科
M3,診療情報管理士専攻科
MI,医療事務科
WB,Webクリエーター科
F2,コンサート・イベント科 /八王子
M2,音響芸術科 /八王子
R2,ミュージックアーティスト科 /八王子
